Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GURU,Global X Guru Index ETF,Equity,"$51,056,100.00",-22.04%,"2,332",$36.92,3.27%,No,False,3.91%,-0.06%,-22.00%,24.29%,42.63%,"-$2,295,955.07","$11,798.29","-$661,445.06","-$3,747,820.96","-$12,843,876.84","-$21,264,325.81",Large Cap Blend Equities,2012-06-04,0.75%,2 Platforms,$0.90,2020-12-30,$0.90,1.80%,58.02,1.12,75,15.03%,40%,20%,1099,$32.96,$36.89,$36.22,$37.27,50.43,B+,C,C,C+,C+,C,6.05,3.56%,35.68%,204.6,6.41%,4.96%
AGNG,Global X Aging Population ETF,Equity,"$50,745,500.00",-9.61%,"5,560",$26.04,1.01%,No,False,0.31%,-2.33%,-9.47%,31.12%,49.52%,"-$5,698,949.61","-$7,458.94","-$5,675.05","$14,834,670.42","$31,301,780.85","$43,930,857.96",Health & Biotech Equities,2016-05-09,0.50%,N/A,$0.09,2021-06-29,$0.03,0.30%,32.19,0.85,100,32.65%,40%,20%,1099,$24.69,$26.53,$25.68,$26.22,46.56,N/A,N/A,N/A,N/A,N/A,N/A,7.07,66.05%,49.71%,24.92,0.00%,29.40%
UTES,Virtus Reaves Utilities ETF,Equity,"$50,725,700.00",3.23%,"7,166",$48.85,1.08%,No,False,1.62%,5.11%,19.14%,38.49%,62.03%,"$7,145,300.00",$0.00,$0.00,"$11,472,150.00","$24,243,000.00","$26,305,200.00",Utilities Equities,2015-09-23,0.49%,N/A,$0.90,2021-09-20,$0.24,2.04%,0.00,0.41,24,62.04%,40%,20%,1099,$45.10,$49.03,$48.39,$49.08,57.98,N/A,C,N/A,N/A,N/A,N/A,8.19,39.24%,74.53%,2094.43,54.01%,10.17%
PUI,Invesco DWA Utilities Momentum ETF,Equity,"$50,529,400.00",5.01%,"16,314",$37.31,0.40%,No,False,0.66%,5.79%,11.94%,26.14%,47.28%,"$3,009,780.00",$0.00,"-$3,307,770.00","-$373,720.00","-$139,252,950.00","-$85,912,950.00",Utilities Equities,2005-10-26,0.60%,N/A,$0.74,2021-09-20,$0.22,2.17%,18.23,0.47,40,38.16%,40%,20%,1099,$34.55,$37.65,$37.09,$37.43,58.61,B,B-,A,A+,B+,B+,10.0,100.00%,100.00%,2039.99,36.01%,7.20%
JHMT,John Hancock Multifactor Technology ETF,Equity,"$50,148,100.00",-21.26%,"3,669",$80.99,3.24%,No,False,5.48%,2.34%,-3.95%,83.35%,130.30%,"-$14,253,017.00","-$2,362,204.00","-$3,877,994.00","-$4,287,025.00","-$27,705,227.00","-$31,363,626.00",Technology Equities,2015-09-29,0.40%,N/A,$0.49,2021-06-25,$0.22,0.48%,29.92,1.09,158,34.67%,40%,20%,1099,$71.45,$80.76,$80.56,$81.20,52.25,N/A,B,N/A,N/A,N/A,N/A,9.32,89.00%,93.34%,38.44,0.48%,7.43%
DBLV,AdvisorShares DoubleLine Value Equity ETF,Equity,"$50,123,400.00",-4.37%,"1,837",$93.89,1.44%,No,False,0.89%,2.91%,-2.61%,50.94%,51.89%,"$4,538,953.70",$0.00,"$5,488,000.60","$4,056,667.75","-$23,995,173.80","-$108,548,755.55",Large Cap Blend Equities,2011-10-04,0.91%,N/A,$1.02,2020-12-24,$1.02,1.03%,19.58,1.02,51,29.93%,40%,20%,1099,$87.85,$94.71,$93.40,$94.14,52.02,N/A,N/A,N/A,N/A,N/A,N/A,7.44,25.41%,56.95%,79.42,8.65%,3.19%
NFTY,First Trust India NIFTY 50 Equal Weight ETF,Equity,"$50,078,100.00",-5.74%,"5,671",$43.90,1.20%,No,False,3.37%,-4.42%,-0.43%,23.01%,38.21%,"-$6,995,933.00","-$2,178,931.00","-$2,178,931.00","-$26,689,543.50","$40,336,920.50","$40,320,761.50",Asia Pacific Equities,2012-02-14,0.80%,N/A,$0.24,2021-09-23,$0.08,0.49%,23.70,0.80,52,23.90%,40%,20%,1099,$41.86,$44.15,$43.71,$43.99,48.87,N/A,N/A,N/A,N/A,N/A,N/A,4.76,24.81%,22.35%,1025.89,8.00%,4.43%
USAI,Pacer American Energy Independence ETF,Equity,"$49,929,000.00",33.40%,"14,377",$30.58,0.92%,No,False,3.26%,10.35%,30.55%,59.70%,N/A,"$18,335,000.00","$3,026,000.00","$8,912,000.00","$19,641,000.00","$29,049,500.29","$40,237,475.29",Energy Equities,2017-12-13,0.75%,N/A,$1.44,2021-10-21,$0.12,5.71%,18.23,1.70,34,58.97%,40%,20%,1099,$26.89,$30.68,$30.29,$30.78,62.77,N/A,N/A,N/A,N/A,N/A,N/A,7.08,35.81%,49.90%,919.55,6.76%,0.00%
YMAR,FT Cboe Vest International Equity Buffer ETF - March,Equity,"$49,582,000.00",-7.31%,"37,546",$19.24,1.00%,No,False,0.73%,2.07%,-8.36%,N/A,N/A,"$39,464,250.00",$0.00,"$2,832,350.00","$48,875,650.00","$49,896,000.00","$49,896,000.00",N/A,2021-03-19,0.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.67,3,100.00%,40%,20%,1099,$18.12,$19.40,$19.14,$19.32,52.79,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SPUU,Direxion Daily S&P 500 Bull 2x Shares,Equity,"$49,330,100.00",-24.74%,"38,615",$87.66,3.68%,No,2x,5.74%,1.70%,-3.46%,102.61%,140.42%,"$5,182,200.00",$0.00,$0.00,"$30,527,000.00","$33,788,263.73","$35,658,263.73",Leveraged Equities,2014-05-28,0.63%,N/A,$6.05,2021-06-22,$0.33,5.30%,26.50,2.08,3,100.00%,40%,20%,1099,$74.54,$88.55,$85.02,$88.98,50.41,B-,A,B,A-,N/A,N/A,7.88,79.29%,67.30%,149.82,6.35%,5.15%
HDRO,Defiance Next Gen H2 ETF,Equity,"$48,886,300.00",-29.50%,"62,643",$13.48,4.98%,No,False,4.50%,-4.80%,-44.20%,N/A,N/A,"$5,078,377.50",$0.00,"$1,234,430.00","$57,140,587.50","$66,158,250.00","$66,158,250.00",N/A,2021-03-09,0.30%,N/A,$0.00,2021-06-23,$0.01,0.02%,0.00,3.18,27,68.97%,40%,20%,1099,$11.42,$13.95,$13.19,$13.64,48.05,N/A,N/A,N/A,N/A,N/A,N/A,7.31,52.11%,54.15%,250.94,0.00%,21.20%
NLR,VanEck Uranium+Nuclear Energy ETF,Equity,"$48,659,700.00",4.48%,"8,077",$57.23,1.87%,No,False,0.47%,3.66%,6.48%,24.74%,28.02%,"$12,320,147.50",$0.00,$0.00,"$21,878,262.50","$21,934,225.00","$14,128,928.55",Alternative Energy Equities,2007-08-13,0.60%,N/A,$1.10,2020-12-21,$1.10,1.94%,14.30,0.54,27,63.14%,40%,20%,1099,$52.87,$57.72,$56.54,$57.58,55.58,B,A-,C+,A,A,C,8.4,84.51%,79.17%,1616.89,97.83%,2.97%
AADR,AdvisorShares Dorsey Wright ADR ETF,Equity,"$48,644,200.00",-11.24%,"4,274",$57.03,1.84%,No,False,0.50%,4.33%,-15.29%,25.88%,23.08%,"-$20,009,917.70",$0.00,"-$1,877,886.10","-$28,853,837.95","-$67,650,527.55","$10,603,858.70",Global Equities,2010-07-20,1.10%,N/A,$0.35,2021-09-24,$0.21,0.54%,13.34,1.00,37,38.43%,40%,20%,1099,$50.54,$58.03,$56.80,$57.14,54.03,B-,C,A-,C,C+,C,7.99,17.86%,70.03%,490.22,13.52%,3.98%
SFYX,SoFi Next 500 ETF,Equity,"$48,492,800.00",-14.53%,"14,418",$12.41,2.22%,No,False,3.18%,1.87%,-10.77%,36.13%,N/A,"$7,675,000.00",$0.00,$0.00,"$22,936,710.00","$43,372,300.00","$49,414,085.00",Mid Cap Growth Equities,2019-04-11,0.00%,N/A,$0.16,2021-06-21,$0.07,1.01%,0.00,1.15,502,9.47%,40%,20%,1099,$11.06,$12.47,$12.24,$12.50,52.52,N/A,N/A,N/A,N/A,N/A,N/A,6.25,52.81%,37.89%,221.08,3.71%,7.37%
ENOR,iShares MSCI Norway ETF,Equity,"$48,402,900.00",-0.40%,"35,792",$29.01,2.26%,No,False,1.50%,3.48%,-1.36%,30.34%,44.96%,"-$8,196,880.00",$0.00,$0.00,"$4,441,515.00","$10,326,210.00","$11,615,590.00",Europe Equities,2012-01-23,0.53%,N/A,$0.72,2021-06-10,$0.41,2.32%,21.35,1.21,72,62.53%,40%,20%,1099,$25.25,$29.44,N/A,N/A,53.96,B,B-,C,C,A-,B,9.48,82.64%,94.71%,275.94,2.09%,15.77%
CRUZ,Defiance Hotel Airline and Cruise ETF,Equity,"$48,364,600.00",-8.74%,"63,528",$19.38,2.22%,No,False,1.57%,-8.28%,N/A,N/A,N/A,"$31,644,705.00","$1,453,942.50","$9,268,382.50","$53,075,820.00","$53,075,820.00","$53,075,820.00",Consumer Discretionary Equities,2021-06-03,0.45%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.67,56,57.81%,40%,20%,1099,$17.51,$20.25,N/A,N/A,48.11,N/A,N/A,N/A,N/A,N/A,N/A,3.57,13.29%,7.09%,836.03,0.00%,0.01%
PSET,Principal Quality ETF,Equity,"$48,208,700.00",-14.39%,"20,442",$51.77,1.93%,No,False,2.01%,0.31%,1.31%,51.29%,89.38%,"-$31,754,540.00","-$2,571,070.00","-$30,241,525.00","$6,662,100.00","$30,001,500.00","$33,710,305.00",Large Cap Growth Equities,2016-03-21,0.15%,N/A,$0.50,2021-10-01,$0.11,0.87%,23.39,0.88,149,11.66%,40%,20%,1099,$48.10,$51.99,$51.05,$52.13,50.99,N/A,B,N/A,N/A,N/A,B+,8.19,75.46%,74.61%,142.92,3.35%,5.05%
FTHI,First Trust BuyWrite Income ETF,Equity,"$47,580,300.00",4.03%,"9,178",$22.15,0.73%,No,False,3.26%,4.35%,5.41%,20.65%,29.72%,"-$97,694.00",$0.00,"$1,063,920.00","-$97,694.00","-$14,840,727.50","$3,352,818.00",Large Cap Blend Equities,2014-01-06,0.85%,N/A,$0.96,2021-10-21,$0.08,4.23%,14.11,0.75,158,27.64%,40%,20%,1099,$20.18,$22.16,$21.90,$22.29,56.36,C,C,B-,C,A,N/A,7.15,47.66%,50.97%,233.71,3.25%,5.74%
LEAD,Siren DIVCON Leaders Dividend ETF,Equity,"$47,560,700.00",-13.00%,"7,555",$52.40,1.87%,No,False,2.52%,1.73%,2.03%,67.89%,96.83%,"-$2,143,635.00","$2,621,950.00","$73,492.50","$6,876,440.00","-$15,175.00","$18,998,350.00",Large Cap Growth Equities,2016-01-06,0.43%,N/A,$0.47,2021-09-22,$0.11,0.80%,0.00,0.95,68,22.10%,40%,20%,1099,$48.10,$52.72,$51.77,$52.71,52.50,N/A,B-,N/A,N/A,N/A,C,8.72,92.23%,84.90%,80.71,2.03%,3.73%
QVMS,Invesco S&P SmallCap 600 QVM Multi-factor ETF,Equity,"$47,295,600.00",-9.63%,457,$23.40,1.69%,No,False,2.63%,4.09%,N/A,N/A,N/A,"$504,300.00",$0.00,$0.00,"$49,061,930.00","$49,061,930.00","$49,061,930.00",N/A,2021-06-30,0.15%,N/A,$0.09,2021-09-20,$0.09,0.32%,0.00,1.34,532,5.76%,40%,20%,1099,$21.29,$23.43,$23.40,$23.40,54.24,N/A,N/A,N/A,N/A,N/A,N/A,5.18,15.71%,26.26%,129.2,3.04%,7.57%
UMAR,Innovator U.S. Equity Ultra Buffer ETF - March,Equity,"$47,239,600.00",-1.76%,"19,428",$29.27,0.41%,No,False,1.02%,0.47%,1.11%,N/A,N/A,"$19,954,567.50",$0.00,"$2,150,147.50","$7,445,192.50","$41,375,358.99","$41,375,358.99",Large Cap Blend Equities,2020-03-02,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.45,0.26,2,100.00%,40%,20%,1099,$28.36,$29.36,$29.12,$29.36,51.28,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UDEC,Innovator U.S. Equity Ultra Buffer ETF - December,Equity,"$47,157,200.00",-5.00%,"6,808",$28.77,0.63%,No,False,1.00%,0.37%,-1.73%,N/A,N/A,"$7,381,262.50","$2,134,267.50","$721,987.50","$14,897,525.00","$43,316,148.60","$43,316,148.60",Large Cap Blend Equities,2019-12-02,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.46,0.35,2,100.00%,40%,20%,1099,$27.94,$28.81,$28.59,$28.86,50.41,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EAPR,Innovator Emerging Markets Power Buffer ETF - April,Equity,"$46,985,300.00",-1.97%,"28,606",$23.99,0.88%,No,False,2.00%,1.08%,-6.87%,N/A,N/A,"$18,276,250.00",$0.00,"$5,219,250.00","$30,295,500.00","$52,967,495.00","$52,967,495.00",N/A,2021-04-01,0.89%,N/A,$0.00,N/A,N/A,0.00%,16.93,-0.61,2,100.00%,40%,20%,1099,$22.71,$23.99,$23.92,$24.05,55.17,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BKCI,BNY Mellon Concentrated International ETF,Equity,"$46,957,900.00",-15.95%,"15,295",$43.56,1.85%,No,False,2.04%,1.98%,N/A,N/A,N/A,"$38,845,250.00","$36,538,950.00","$36,538,950.00","$38,845,250.00","$38,845,250.00","$38,845,250.00",All Cap Equities,2021-12-06,0.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,42.57%,40%,20%,1099,$39.99,$43.74,$43.14,$43.77,52.79,N/A,N/A,N/A,N/A,N/A,N/A,8.89,60.02%,87.76%,281.92,7.52%,9.73%
NGE,Global X MSCI Nigeria ETF,Equity,"$46,748,500.00",2.49%,"10,808",$9.48,-0.32%,No,False,-1.40%,-2.77%,-16.01%,-25.07%,-24.33%,"$13,265.62","$9,123.98","$16,449.01","$21,275.58","$8,449,208.54","-$1,388,056.59",Emerging Markets Equities,2013-04-03,0.91%,2 Platforms,$0.77,2020-12-30,$0.77,4.92%,5.72,0.59,22,68.82%,40%,20%,1099,$9.46,$9.77,$9.39,$9.54,45.37,B+,B-,C,B,A,C,3.72,2.38%,7.87%,1584.09,3.09%,3.11%
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,Equity,"$46,741,500.00",-19.01%,"2,306",$22.78,0.44%,No,False,1.57%,3.24%,-18.35%,N/A,N/A,"-$21,041,265.35",$0.00,$0.00,"-$49,467,864.80","$49,247,659.95","$49,247,659.95",Large Cap Growth Equities,2019-12-26,0.96%,N/A,$0.00,2020-12-24,$0.01,0.02%,32.18,0.95,42,48.42%,40%,20%,1099,$21.01,$23.05,$22.78,$22.78,51.55,N/A,N/A,N/A,N/A,N/A,N/A,7.8,43.76%,65.37%,255.45,0.00%,0.61%
DEEP,Roundhill Acquirers Deep Value ETF,Equity,"$46,686,800.00",-11.59%,"6,095",$32.81,1.83%,No,False,2.58%,5.10%,-8.80%,28.04%,37.83%,"-$3,459,085.00",$0.00,$0.00,"$2,825,435.00","-$160,595,990.00","$6,873,890.00",Small Cap Value Equities,2014-09-23,0.80%,N/A,$0.39,2021-09-14,$0.01,0.99%,10.60,1.31,101,12.85%,40%,20%,1099,$30.01,$32.71,$32.44,$33.01,54.38,N/A,N/A,N/A,N/A,N/A,N/A,4.92,8.10%,24.05%,75.14,4.05%,6.59%
AVIV,Avantis International Large Cap Value ETF,Equity,"$46,675,100.00",-2.05%,"15,860",$49.58,1.79%,No,False,1.95%,5.80%,N/A,N/A,N/A,"$31,534,497.00",$0.00,"$12,234,255.00","$45,095,463.00","$45,095,463.00","$45,095,463.00",Large Cap Value Equities,2021-09-28,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,474,17.42%,40%,20%,1099,$44.29,$49.88,$49.14,$49.80,58.20,N/A,N/A,N/A,N/A,N/A,N/A,9.41,87.90%,94.16%,239.36,8.21%,4.96%
UFEB,Innovator U.S. Equity Ultra Buffer ETF - February,Equity,"$46,455,500.00",-3.04%,"14,442",$27.11,0.63%,No,False,1.08%,0.46%,-0.70%,N/A,N/A,"$22,817,417.50",$0.00,"$1,324,992.50","$14,528,095.00","$42,671,270.48","$42,671,270.48",Volatility Hedged Equity,2020-02-03,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.45,0.36,2,100.00%,40%,20%,1099,$26.27,$27.19,$26.94,$27.20,50.85,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
JEPQ,J.P. Morgan Nasdaq Equity Premium Income ETF,Equity,"$46,018,000.00",N/A,N/A,$49.58,2.27%,No,False,3.97%,-2.22%,N/A,N/A,N/A,"$21,378,450.00","$2,422,000.00","$21,378,500.00","$21,378,450.00","$21,378,450.00","$21,378,450.00",N/A,2022-05-03,0.35%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,52.88%,40%,20%,1099,$45.43,$49.78,$48.75,$50.01,46.39,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
KOCT,Innovator U.S. Small Cap Power Buffer ETF - October,Equity,"$45,959,500.00",-7.20%,"9,674",$25.43,1.07%,No,False,1.68%,1.78%,-4.93%,N/A,N/A,"$4,250,602.50",$0.00,"$5,560,132.50","$4,521,232.50","$43,767,800.62","$43,767,800.62",Volatility Hedged Equity,2019-10-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,17.83,0.57,1,100.00%,40%,20%,1099,$23.95,$25.46,$25.33,$25.48,53.12,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FLCA,Franklin FTSE Canada ETF,Equity,"$45,859,500.00",0.28%,"12,717",$34.60,1.62%,No,False,3.61%,3.42%,4.25%,54.02%,N/A,"$14,035,000.00",$0.00,"$1,624,500.00","$17,476,000.00","$36,182,500.00","$38,565,500.00",Global Equities,2017-11-02,0.09%,N/A,$0.66,2021-06-10,$0.24,1.89%,17.11,1.02,52,50.15%,40%,20%,1099,$31.35,$34.47,$34.21,$34.83,55.98,N/A,N/A,N/A,N/A,N/A,N/A,10.0,100.00%,100.00%,340.82,6.88%,1.64%
HOMZ,Hoya Capital Housing ETF,Equity,"$45,744,200.00",-18.29%,"10,926",$36.54,1.78%,No,False,2.09%,-0.19%,-9.71%,55.19%,N/A,"-$22,161,460.00","$7,065.00","-$877,217.50","-$18,954,877.50","$29,525,580.00","$34,593,465.00",Materials,2019-03-19,0.30%,N/A,$1.14,2021-10-19,$0.12,2.62%,19.50,1.32,102,20.20%,40%,20%,1099,$33.82,$36.84,$36.11,$36.75,50.19,N/A,N/A,N/A,N/A,N/A,N/A,6.4,82.95%,39.66%,72.94,0.00%,10.03%
OEUR,OShares Europe Quality Dividend ETF,Equity,"$45,559,900.00",-15.94%,"15,106",$24.51,2.42%,No,False,1.96%,0.57%,-10.66%,16.82%,13.62%,"$14,576,215.00","-$2,430,670.00","-$2,430,670.00","$30,759,245.00","$25,589,540.00","$1,485,134.85",Europe Equities,2015-08-19,0.48%,N/A,$0.94,2021-10-28,$0.06,3.26%,21.54,0.79,52,37.52%,40%,20%,1099,$22.64,$24.53,$24.27,$24.63,52.31,N/A,C+,N/A,N/A,C,A-,9.12,75.51%,91.29%,32.78,10.56%,12.08%
UAE,iShares MSCI UAE ETF,Equity,"$45,139,600.00",6.93%,"55,312",$17.28,0.76%,No,False,2.55%,-8.18%,21.44%,41.05%,25.01%,"$12,914,675.00",$0.00,"$4,315,600.00","$19,198,575.00","$4,904,915.00","$17,418,225.00",Emerging Markets Equities,2014-04-29,0.59%,N/A,$0.51,2021-06-10,$0.50,3.20%,17.14,0.80,34,78.61%,40%,20%,1099,$16.05,$18.75,N/A,N/A,44.95,B-,B,A,C+,A,C+,8.5,98.23%,81.13%,74.3,0.00%,0.79%
FIVA,Fidelity International Value Factor ETF,Equity,"$44,974,000.00",-5.46%,"14,023",$22.85,1.38%,No,False,0.62%,3.24%,-6.01%,21.38%,N/A,"$6,514,540.00",$0.00,"$4,444,770.00","$16,357,590.00","$31,365,080.00","$36,280,390.00",Foreign Large Cap Equities,2018-01-16,0.39%,N/A,$0.77,2021-09-17,$0.22,3.14%,10.43,0.90,108,16.33%,40%,20%,1099,$20.92,$23.13,$22.66,$22.95,54.51,N/A,N/A,N/A,N/A,N/A,N/A,8.68,46.66%,84.31%,266.05,14.52%,6.41%
HEWG,iShares Currency Hedged MSCI Germany ETF,Equity,"$44,923,200.00",-9.88%,"149,382",$29.43,1.48%,No,False,2.44%,4.66%,-9.27%,21.36%,15.70%,"$1,606,755.00",$0.00,"$5,682,090.00","$1,547,275.00","-$134,805,925.00","-$827,780,275.00",Europe Equities,2014-01-31,0.53%,N/A,$0.92,2021-07-02,$0.54,2.73%,21.87,0.95,3,99.99%,40%,20%,1099,$26.98,$29.44,$29.19,$29.56,56.82,A-,B-,A,C+,B-,C,7.78,9.18%,64.90%,171.22,14.16%,7.71%
LOUP,Innovator Loup Frontier Tech ETF,Equity,"$44,876,000.00",-33.15%,"11,366",$35.83,3.92%,No,False,5.13%,-3.95%,-32.80%,63.83%,N/A,"-$4,105,500.00",$0.00,"-$1,695,500.00","-$22,442,500.00","$45,463,500.00","$59,757,000.24",Global Equities,2018-07-25,0.70%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.27,31,41.57%,40%,20%,1099,$31.57,$36.74,$34.88,$36.32,47.04,N/A,N/A,N/A,N/A,N/A,N/A,7.53,46.04%,58.94%,57.25,5.85%,0.87%
UNOV,Innovator U.S. Equity Ultra Buffer ETF - November,Equity,"$44,738,100.00",-4.85%,"8,942",$28.12,0.43%,No,False,0.76%,0.28%,-3.12%,N/A,N/A,"$9,297,667.50",$0.00,"$1,395,825.00","$34,295,382.50","$44,940,371.97","$44,940,371.97",Large Cap Blend Equities,2019-11-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.46,0.30,2,100.00%,40%,20%,1099,$27.43,$28.18,$27.94,$28.20,49.58,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares,Equity,"$44,407,500.00",1.57%,"875,265",$8.39,-11.87%,Yes,-3x,-15.76%,-21.59%,-19.71%,N/A,N/A,"$8,443,950.00","$6,989,200.00","$54,500.00","$21,732,500.00","$148,301,257.73","$148,301,257.73",Leveraged Equities,2019-11-07,1.01%,N/A,$0.00,2020-03-24,$0.02,0.00%,0.00,-3.18,2,100.00%,40%,20%,1099,$8.58,$13.29,$8.01,$9.16,43.58,N/A,N/A,N/A,N/A,N/A,N/A,5.81,5.00%,31.95%,1.5,0.00%,0.00%
VFLQ,Vanguard U.S. Liquidity Factor ETF,Equity,"$44,216,900.00",-15.11%,398,$97.38,2.28%,No,False,3.25%,2.04%,-11.33%,31.13%,N/A,"-$574,800.00",$0.00,$0.00,"$2,500.00","$20,830,700.00","$38,651,200.00",All Cap Equities,2018-02-13,0.13%,N/A,$1.43,2021-09-24,$0.29,1.20%,19.10,1.14,735,10.58%,40%,20%,1099,$88.50,$97.43,$97.38,$97.38,52.06,N/A,N/A,N/A,N/A,N/A,N/A,6.32,6.14%,38.80%,97.86,4.59%,4.98%
WBIF,WBI BullBear Value 3000 ETF,Equity,"$44,213,800.00",-0.18%,"2,614",$30.66,0.03%,No,False,-0.35%,0.90%,-3.04%,19.05%,23.43%,"-$4,671,000.00",$0.00,$0.00,"-$7,823,000.00","$3,923,444.96","-$30,170,555.04",Global Equities,2014-08-27,1.25%,N/A,$0.43,2021-09-27,$0.07,1.39%,20.99,0.59,12,99.06%,40%,20%,1099,$30.05,$30.92,N/A,N/A,47.52,B,C,N/A,C+,C,N/A,8.32,80.41%,77.31%,171.68,7.58%,4.81%
JAVA,JPMorgan Active Value ETF,Equity,"$44,132,000.00",0.37%,"7,146",$52.44,0.88%,No,False,0.87%,3.13%,N/A,N/A,N/A,"$17,066,750.00",$0.00,"$3,777,250.00","$18,311,750.00","$18,311,750.00","$18,311,750.00",Large Cap Value Equities,2021-10-04,0.44%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,151,24.27%,40%,20%,1099,$48.90,$52.82,$51.94,$52.69,53.42,N/A,N/A,N/A,N/A,N/A,N/A,7.05,14.60%,49.35%,220.48,9.20%,5.38%
MLPR,ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN,Equity,"$44,125,900.00",39.31%,668,$44.26,0.45%,No,1.5x,5.50%,14.94%,22.84%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2020-06-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.64,N/A,N/A,40%,20%,1099,$36.15,$44.57,$44.26,$44.26,62.39,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CRAK,VanEck Oil Refiners ETF,Equity,"$44,084,900.00",25.07%,"40,686",$33.80,1.59%,No,False,4.32%,12.43%,11.84%,38.38%,64.19%,"$19,170,435.00","$1,615,250.00","$15,888,865.00","$19,170,435.00","$22,590,802.90","$41,055,231.50",Energy Equities,2015-08-18,0.59%,N/A,$0.66,2020-12-21,$0.66,2.22%,9.37,1.29,25,64.93%,40%,20%,1099,$29.53,$33.76,$33.47,$33.98,66.63,N/A,B-,N/A,N/A,N/A,N/A,7.78,45.00%,64.99%,464.63,3.74%,4.10%
FMAG,Fidelity Magellan ETF,Equity,"$43,919,700.00",-19.70%,"14,342",$20.31,2.84%,No,False,4.05%,1.20%,-3.62%,N/A,N/A,"$166,347.50",$0.00,$0.00,"$23,284,840.00","$46,721,797.50","$46,721,797.50",Global Equities,2021-02-02,0.59%,N/A,$0.01,2021-09-17,$0.00,0.02%,38.94,1.19,58,38.24%,40%,20%,1099,$18.25,$20.23,$19.88,$20.52,51.91,N/A,N/A,N/A,N/A,N/A,N/A,9.07,96.70%,90.54%,80.07,2.87%,6.62%
AQGX,AI Quality Growth ETF,Equity,"$43,805,200.00",-23.51%,"22,072",$13.10,3.15%,No,False,4.41%,2.89%,N/A,N/A,N/A,"-$9,547,550.30",$0.00,"-$359,904.90","-$6,044,478.11","-$6,044,478.11","-$6,044,478.11",All Cap Equities,2021-11-05,0.97%,N/A,$0.00,N/A,N/A,0.00%,N/A,0.00,45,28.15%,40%,20%,1099,$11.61,$12.99,$12.88,$13.21,52.71,N/A,N/A,N/A,N/A,N/A,N/A,8.56,89.05%,82.21%,21.44,2.94%,5.56%
GDXU,MicroSectors Gold Miners 3X Leveraged ETN,Equity,"$43,636,500.00",-12.78%,"760,442",$9.96,14.09%,No,3x,10.06%,-18.36%,-62.06%,N/A,N/A,"$8,300,080.56",$0.00,"$8,300,080.56","$45,191,510.33","$73,658,163.63","$73,658,163.63",Leveraged Equities,2020-12-02,0.95%,N/A,$0.00,N/A,N/A,0.00%,16.61,5.55,0,0.00%,40%,20%,1099,$6.89,$11.05,$9.32,$10.34,45.72,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
